repository,issue_number,issue_url,state,decision,decision_provenance
infiniflow/ragflow,1436,https://github.com/infiniflow/ragflow/issues/1436,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1453,https://github.com/infiniflow/ragflow/issues/1453,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1472,https://github.com/infiniflow/ragflow/issues/1472,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1475,https://github.com/infiniflow/ragflow/issues/1475,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1501,https://github.com/infiniflow/ragflow/issues/1501,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1507,https://github.com/infiniflow/ragflow/issues/1507,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1522,https://github.com/infiniflow/ragflow/issues/1522,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1543,https://github.com/infiniflow/ragflow/issues/1543,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1547,https://github.com/infiniflow/ragflow/issues/1547,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1569,https://github.com/infiniflow/ragflow/issues/1569,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1582,https://github.com/infiniflow/ragflow/issues/1582,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1600,https://github.com/infiniflow/ragflow/issues/1600,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1623,https://github.com/infiniflow/ragflow/issues/1623,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1627,https://github.com/infiniflow/ragflow/issues/1627,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1628,https://github.com/infiniflow/ragflow/issues/1628,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1631,https://github.com/infiniflow/ragflow/issues/1631,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1634,https://github.com/infiniflow/ragflow/issues/1634,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1651,https://github.com/infiniflow/ragflow/issues/1651,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1687,https://github.com/infiniflow/ragflow/issues/1687,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1704,https://github.com/infiniflow/ragflow/issues/1704,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1726,https://github.com/infiniflow/ragflow/issues/1726,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1741,https://github.com/infiniflow/ragflow/issues/1741,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1743,https://github.com/infiniflow/ragflow/issues/1743,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1761,https://github.com/infiniflow/ragflow/issues/1761,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1767,https://github.com/infiniflow/ragflow/issues/1767,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1769,https://github.com/infiniflow/ragflow/issues/1769,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1775,https://github.com/infiniflow/ragflow/issues/1775,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1776,https://github.com/infiniflow/ragflow/issues/1776,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1781,https://github.com/infiniflow/ragflow/issues/1781,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1782,https://github.com/infiniflow/ragflow/issues/1782,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1800,https://github.com/infiniflow/ragflow/issues/1800,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1803,https://github.com/infiniflow/ragflow/issues/1803,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1804,https://github.com/infiniflow/ragflow/issues/1804,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1816,https://github.com/infiniflow/ragflow/issues/1816,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1825,https://github.com/infiniflow/ragflow/issues/1825,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1828,https://github.com/infiniflow/ragflow/issues/1828,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1835,https://github.com/infiniflow/ragflow/issues/1835,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1848,https://github.com/infiniflow/ragflow/issues/1848,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1860,https://github.com/infiniflow/ragflow/issues/1860,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1861,https://github.com/infiniflow/ragflow/issues/1861,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1863,https://github.com/infiniflow/ragflow/issues/1863,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1903,https://github.com/infiniflow/ragflow/issues/1903,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
